,Castillo,Keiko
SHIGA,5.6%,94.4%
SHIZUOKA,5.4%,94.6%
SIDNEY,30.5%,69.5%
SINGAPUR,6.1%,93.9%
SKOPJE,0.0%,100.0%
TAMPA,9.7%,90.3%
TEGUCIGALPA,18.4%,81.6%
TEHERAN,11.4%,88.6%
TEL AVIV,16.8%,83.2%
TENERIFE,30.6%,69.4%
TIMISOARA,33.3%,66.7%
TOKIO,8.0%,92.0%
TORONTO,19.7%,80.3%
TOULOUSE,43.0%,57.0%
TRIESTE,35.8%,64.2%
TURIN,51.2%,48.8%
VALENCIA,30.3%,69.7%
VANCOUVER,22.6%,77.4%
VARSOVIA,36.4%,63.6%
VERAGUAS,8.3%,91.7%
VIENA,38.7%,61.3%
VIGO,43.1%,56.9%
WASHINGTON D. C.,24.1%,75.9%
WELLINGTON,34.2%,65.8%
ZAGREB,57.1%,42.9%
ZARAGOZA,35.7%,64.3%
ZURICH,25.7%,74.3%
